Wavelength,ORD
500,-4.243158020425567
499,98.35222924596366
498,103.55218719530913
497,140.34941753449684
496,145.4616796224164
495,170.2662201417001
494,175.31652409093292
493,194.3549844082944
492,200.1756675049621
491,215.40636452810372
490,220.98999052289767
489,235.50289099477087
488,241.57764929648738
487,254.84285087373183
486,261.36169030227546
485,273.6375863957652
484,280.34307007807286
483,292.2886936273083
482,298.76391150242756
481,311.0891743375903
480,317.52277293883606
479,329.2441512063001
478,336.46523381758664
477,348.3418206294508
476,354.75248978347884
475,368.02284929885184
474,369.4345546566742
473,387.1309301324116
472,403.5004102146215
471,402.2164213531616
470,410.240348412223
469,423.99248461853057
468,454.57379805605086
467,480.48422099034
466,486.528022174371
465,490.94270475616094
464,501.99310424088895
463,518.4231174870589
462,533.947463160473
461,543.9026077206389
460,559.822710841742
459,573.0582469026021
458,590.2410627497471
457,604.3813163780732
456,623.2594716610618
455,638.2356430293839
454,659.1617926377616
453,673.9817463780379
452,698.5384169704839
451,709.8492343328239
450,741.9365106554989
449,774.7552604685774
448,788.5541552507322
447,817.932782585299
446,840.8309282459315
445,871.1272210095277
444,899.0703292839746
443,932.1439695148019
442,964.4540501937049
441,1001.438301473856
440,1039.4968470454057
439,1081.765181069165
438,1125.521327870871
437,1173.5660832695532
436,1224.1594884062722
435,1279.663208604917
434,1337.2427352909897
433,1400.3488914207728
432,1468.0648250612219
431,1542.6804351442725
430,1624.032311341171
429,1714.6388327249474
428,1809.3335457027429
427,1917.930424014055
426,2026.9352536534625
425,2151.1873560528534
424,2273.01195031895
423,2391.712619933614
422,2515.972751401797
421,2606.5187855519994
420,2671.101401470912
419,2606.3309566659077
418,2443.604617275679
417,2357.143531667307
416,2315.2979565565697
415,2272.9599975333153
414,2257.6610588280178
413,2233.20255948942
412,2216.2325243269415
411,2181.9524834999756
410,2153.2603798429172
409,2127.8103509603347
408,2024.755074087862
407,1898.040754306384
406,1771.7880500199371
405,1648.6854761109628
404,1472.5329836308379
403,1288.709063942718
402,1103.6023255534426
401,894.1612054966953
400,723.4661138273428
399,527.2611294294447
398,423.1951312325976
397,246.67977743677807
396,89.07858117822896
395,-114.09299929818674
394,-340.03241227112164
393,-531.9170015157192
392,-766.9128723789157
391,-1004.9759249937687
390,-1224.9153833851612
389,-1470.3552258346626
388,-1802.264276250495
387,-2075.0241719491974
386,-2410.0069820570984
385,-2793.4085046362425
384,-3274.2690253961878
383,-3689.4177573224692
382,-4005.8837645279787
381,-4290.693869541247
380,-4544.925397586484
379,-4774.1055585283075
378,-4975.258445388463
377,-5146.474099480992
376,-5292.884182438251
375,-5411.052889969337
374,-5494.2490981399515
373,-5553.807425372092
372,-5567.776014451687
371,-5571.852541961908
370,-5555.819767953506
369,-5521.406443431448
368,-5437.508888703592
367,-5343.137468882615
366,-5231.4733145424325
365,-5114.223037895292
364,-4976.058297345557
363,-4796.402860375851
362,-4612.082837802268
361,-4399.886302753539
360,-4180.270343001962
359,-3939.179902214666
358,-3685.8321631088115
357,-3398.1318674625422
356,-3107.0318570591103
355,-2716.2726768092334
354,-2293.643134608814
353,-2021.1364270791876
352,-1772.1522161845803
351,-1573.8053756977824
350,-1405.4900203333923
349,-1225.673603895228
348,-1087.4061577756647
347,-962.6017437462011
346,-856.3498227211905
345,-740.1266127693748
344,-659.8615398567063
343,-592.8368691307745
342,-502.2987213939347
341,-436.8373690910911
340,-379.64821750139885
339,-324.8320078012897
338,-276.87462664453795
337,-256.4757945763399
336,-215.77691662939037
335,-191.21571791527322
334,-153.4529635125241
333,-123.6664828924602
332,-118.34968651661404
331,-88.3585544607868
330,-70.45781640091504
329,-48.677260280765715
328,-20.084459752791968
327,-13.377415400354543
326,6.0938039118628815
325,24.49415839846024
324,22.717472306704046
323,38.743498393088046
322,73.81525141716082
321,130.129189132654
320,176.59408496683875
319,201.86859048225608
318,229.55230642724365
317,253.85528929932693
316,265.47145919451003
315,284.9643128801554
314,294.2849726608178
313,310.2526185211856
312,317.4984164549953
311,320.2452706028109
310,332.1597074033027
309,330.94850911385834
308,329.90609704073034
307,325.6661963017288
306,327.82614709044583
305,322.5373361304875
304,322.6870475572036
303,317.5356148507843
302,315.65280489306065
301,317.459921747434
300,315.1660433712227
299,310.9432851837004
298,311.9739541490669
297,303.10188544765674
296,297.587895800489
295,292.35790296593734
294,285.21329084135215
293,275.37547258698964
292,265.7759089243678
291,265.76346516579264
290,261.27161137645135
289,249.86704077298344
288,245.91247746235007
287,237.71702358327624
286,235.0127089126919
285,228.29555844628965
284,225.19136932949283
283,217.57061302808754
282,218.31570431355246
281,210.65935262984772
280,211.3978541130176
279,209.15448184784103
278,207.79249618484735
277,202.3539889856408
276,201.22571194867476
275,197.00252635482553
274,197.04254586194588
273,191.12727857721592
272,190.72601755948156
271,185.59735300051724
270,184.93802565322855
269,179.46146755848588
268,176.86951047334213
267,171.97488148562175
266,169.07511530864255
265,162.55805211577493
264,161.05987518123203
263,153.56942426991364
262,149.73778712295254
261,141.8481487990498
260,138.36935782101352
259,129.9486651861109
258,124.93700538308346
257,114.61203914446688
256,108.05526388377658
255,98.13226707281453
254,93.63395694015556
253,86.15453254890639
252,83.87201244561464
251,77.96736415982437
250,77.1947025096337
249,71.73204196218187
248,72.23932831462265
247,67.78133570665264
246,69.82887280062248
245,67.08988281800552
244,72.41682497741381
243,72.25463094157585
242,80.32990068474237
241,83.00108335036867
240,92.52686627759735
239,95.43407288120248
238,106.79504960603484
237,115.22731237335422
236,138.2306748501677
235,162.65446888504442
234,203.65312451787207
233,242.70311334417028
232,292.6819193147957
231,329.6990445034764
230,366.9719374391456
229,371.43194006570286
228,349.8898014671031
227,272.5294084094061
226,145.25730330849922
225,-56.439188268902086
224,-312.8201969261062
223,-637.1714994141743
222,-996.8316960507857
221,-1396.936447888227
220,-1793.866927909776
219,-2172.246769869247
218,-2462.991968396669
217,-2655.455098294987
216,-2707.876562884107
215,-2660.748615780262
214,-2522.3196558761892
213,-2328.1431305795345
212,-2067.6046339815302
211,-1800.4361709427371
210,-1486.0220789675027
209,-1196.7639655976964
208,-913.0371251178431
207,-692.6460929074733
206,-481.5512902275383
205,-321.65384955300595
204,-152.4888923104977
203,-23.34198868081575
202,122.84839418717789
201,232.74093520994904
200,377.7731530578431
199,496.0929164927941
198,666.5627559262869
197,792.1062031196778
196,968.350540268914
195,1068.1006777785824
194,1230.6256221913056
193,1289.2150068327874
192,1460.1398514656553
191,1458.955202540347
190,1836.8073343529938
